6, 18, -8, 11, 18, -21, 1, 17, 9, 19, 5, 14, 18, -13, -19, 12, 14, -18
-24, -14, 9, 12, 12, -4, 10, 18, -2, -24, 4, -22, -22, 12, -7, 2, -18, -12
-8, 2, 17, -19, 16, 0, 14, -6, 11, 16, -1, -23, -8, 17, -22, 19, -11, 1
-18, 7, 5, -3, -21, 1, 16, -11, -5, -7, 13, 7, 20, 6, 18, -7, -24, -16
11, -24, -16, -17, -5, 1, 13, 10, 17, 20, 15, 13, -2, -1, 3, -19, -2, 17
-20, -15, -11, -17, -22, 16, -22, -10, -6, 20, -13, 21, -6, 0, -1, 19, 23, 10
10, 9, -5, 16, 15, 0, -10, -25, -24, 7, 0, 21, 6, -23, 10, -23, 20, 12
22, 0, -17, -22, 18, -25, 2, -16, 11, -5, 22, -15, 19, 15, -23, 5, 2, -7
13, 13, -3, 5, 21, -10, 9, 12, 7, -13, -17, -2, -3, -13, -1, 23, 16, -1
-11, -1, -12, 9, 1, -1, -11, -20, -14, 12, -22, 10, 0, -16, 20, -5, 14, 20
-14, -3, -17, 14, -23, 10, -9, -11, 1, 16, -16, 15, 5, -15, -7, -8, -10, 15
-15, 19, 12, -22, -17, -5, 19, -5, -9, 12, 19, -5, -25, 3, 2, 7, -23, -8
21, 9, 0, -2, 14, 17, -23, 12, 0, 16, 15, -7, -9, 15, -5, -6, -4, 9
-10, 14, 23, -13, 9, -20, -21, -12, 6, -8, -16, 9, 2, -5, -23, -10, -3, -25
-8, 19, 14, 15, 23, -5, -25, 8, -10, -7, 12, 11, -7, -11, -13, 20, 14, 22
-22, -3, -5, -6, -4, 20, -15, 24, 14, -5, 4, 20, -18, 19, 15, 11, -24, -15
-12, -21, 21, 18, 23, 21, 10, -22, -2, -18, 18, 13, -19, -23, 10, -15, -16, 10
-7, 12, -23, -15, -9, -8, 8, 18, 4, 9, 21, -3, -9, -1, 1, -4, 4, -9
