11, 23, -5, 16, 11, 9, 21, 8, 18, 1, -5, 14, -9, 23, 19, -9, -12, -2
-4, -21, -11, 24, 21, 17, -10, -1, -6, 11, 22, -24, -1, -12, -19, 23, 8, -17
-22, -16, 11, -22, 6, -3, -6, -22, -17, -5, -18, 20, -15, 1, 18, -10, -8, -22
-7, 11, -21, 16, 17, -5, -15, -9, 12, -13, -11, 15, -13, -10, -13, -9, 14, -4
-12, -4, -2, -8, 22, 6, -22, 15, -1, -22, -14, -10, 11, -7, -8, -2, -6, 2
21, -2, 6, 0, -23, -11, -15, 15, 9, -7, -21, 5, 1, 15, 13, -22, 24, 11
6, -24, 23, 24, -25, 1, -19, 23, 24, -16, 1, 9, 20, -2, 15, -1, 16, 5
-13, 22, 3, 21, -8, 6, 14, -2, 15, -5, 9, -14, -11, 20, 1, 6, -19, -9
-15, 10, 3, 12, -22, 7, 23, -17, 17, 19, 21, -4, 13, 16, 8, 8, 20, 20
-24, -11, -9, -16, 22, 11, -13, -16, 10, 13, -3, 9, -9, -10, -3, -9, -23, 6
20, 1, 1, -8, -18, 4, 10, -24, -14, 16, 8, -10, 4, 11, -24, 14, -19, -11
22, -24, 23, 14, -14, 18, -18, -25, 16, 24, 1, -8, 24, -23, -16, 13, 0, -17
-15, 16, -11, -7, -9, -14, -20, -14, 13, 14, 6, -1, 3, 4, 22, 2, 18, -3
3, 21, 4, 18, -19, 9, 16, 18, 6, -14, -18, 1, 13, -17, 14, 17, 18, 10
-1, 12, -14, -1, -1, 0, 14, 7, -24, 15, -15, 10, -23, -8, 3, -3, -3, -7
6, -12, -9, -9, -6, -14, -12, 4, -2, -7, 13, -21, 12, 8, -10, -22, -12, 2
-17, -14, 0, 3, -21, 21, -15, 19, 24, -14, -17, -6, 4, -25, 17, 11, -24, -8
21, -6, 14, 3, -16, -6, 19, -7, 14, 24, -7, 20, -1, 2, -17, -2, -8, 8
